Full_Name,x0,y0,z0,xDot0,yDot0,zDot0,T,Stability_Index,Bifercates_to,lStar_km,tStar_days,mu,System,LagrangePoint,Family,Modifier,JacobiValue,Closest_Primary_Approach,Closest_Secondary_Approach
L3 - Lyapunov,-1.218,0,0,0,0.4119,0,6.2201,1.6519,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.96330823356982,0.803858462664374,0.803858462664374
L3 - Lyapunov,-1.2504,0,0,0,0.472066606294267,0,6.2207,1.6437,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.94706855766373,0.771333069961756,0.771333069961756
L3 - Lyapunov,-1.2828,0,0,0,0.531762462695196,0,6.2213,1.6343,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.92838010805823,0.738789761269088,0.738789761269088
L3 - Lyapunov,-1.3152,0,0,0,0.591051949121563,0,6.2221,1.6236,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.9071721170342,0.706214140305214,0.706214140305214
L3 - Lyapunov,-1.3476,0,0,0,0.64998368526562,0,6.2229,1.6117,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.88337850231674,0.673634815608853,0.673634815608853
L3 - Lyapunov,-1.38,0,0,0,0.708619177137856,0,6.2238,1.5985,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.85690511706911,0.641039310352409,0.641039310352409
L3 - Lyapunov,-1.4124,0,0,0,0.767015613000232,0,6.2248,1.584,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.82764732706904,0.608428854670405,0.608428854670405
L3 - Lyapunov,-1.4448,0,0,0,0.82524022652085,0,6.226,1.568,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.79546774934649,0.575782062741816,0.575782062741816
L3 - Lyapunov,-1.4772,0,0,0,0.883336180059327,0,6.2272,1.5506,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.76024971912328,0.543144625341374,0.543144625341374
L3 - Lyapunov,-1.5096,0,0,0,0.941372789667245,0,6.2285,1.5316,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.72181583346637,0.510502136374543,0.510502136374543
